Area_name,FIPS,White 2010 (%),Black 2010 (%),American Indian 2010 (%),Asian 2010 (%),Hispanic or Latino 2010 (%)
ALABAMA,1000,67,26.2,0.6,1.1,3.9
"Autauga, AL",1001,77.2,17.7,0.4,0.9,2.4
"Baldwin, AL",1003,83.5,9.4,0.7,0.7,4.4
"Barbour, AL",1005,46.8,46.9,0.4,0.4,5.1
"Bibb, AL",1007,75,22,0.3,0.1,1.8
"Blount, AL",1009,88.9,1.3,0.5,0.2,8.1
"Bullock, AL",1011,21.9,70.2,0.2,0.2,7.1
"Butler, AL",1013,54.1,43.4,0.3,0.8,0.9
"Calhoun, AL",1015,73.6,20.6,0.5,0.7,3.3
"Chambers, AL",1017,58.1,38.7,0.2,0.5,1.6
"Cherokee, AL",1019,92.1,4.6,0.5,0.2,1.2
"Chilton, AL",1021,81.1,9.7,0.4,0.3,7.8
"Choctaw, AL",1023,55.6,43.4,0.1,0.1,0.5
"Clarke, AL",1025,54,43.9,0.4,0.3,1
"Clay, AL",1027,80.3,14.8,0.4,0.2,2.9
"Cleburne, AL",1029,93.2,3.3,0.3,0.2,2.1
"Coffee, AL",1031,72.3,16.7,1.3,1.3,6.4
"Colbert, AL",1033,79.6,16.1,0.5,0.4,2
"Conecuh, AL",1035,51.1,46.5,0.3,0.1,1.2
"Coosa, AL",1037,65.9,31,0.3,0.1,2
"Covington, AL",1039,84.1,12.5,0.6,0.4,1.3
"Crenshaw, AL",1041,72.1,23.4,0.4,1.4,1.5
"Cullman, AL",1043,92.7,1.1,0.5,0.4,4.3
"Dale, AL",1045,71.1,19.3,0.7,1.1,5.6
"Dallas, AL",1047,28.9,69.4,0.2,0.3,0.7
"DeKalb, AL",1049,81.6,1.5,1.4,0.3,13.6
"Elmore, AL",1051,75,20,0.4,0.7,2.7
"Escambia, AL",1053,61.3,31.9,3.4,0.2,1.9
"Etowah, AL",1055,79.3,15.1,0.4,0.6,3.3
"Fayette, AL",1057,86,11.4,0.3,0.2,1.2
"Franklin, AL",1059,79.6,3.9,0.7,0.2,14.9
"Geneva, AL",1061,84.7,9.5,0.8,0.3,3.4
"Greene, AL",1063,17.3,81.5,0.2,0.2,0.8
"Hale, AL",1065,39.4,59,0.2,0.2,0.9
"Henry, AL",1067,67.8,28.6,0.3,0.3,2.2
"Houston, AL",1069,68.7,25.8,0.4,0.8,2.9
"Jackson, AL",1071,90.1,3.3,1.4,0.3,2.5
