FIPS,County,State,White,African-American,Hispanic,Asian,American Indian,Other
1001,Autauga County,AL,13.55,77.55,17.7,2.2,0.75,0.4
1003,Baldwin County,AL,10.9,84.3,9.55,3.65,0.65,0.6
1005,Barbour County,AL,27.9,47.4,46.5,4.7,0.25,0.35
1007,Bibb County,AL,25,75.2,22.5,1.35,0.15,0.2
1009,Blount County,AL,17.9,89.15,1.05,7.7,0.3,0.6
1011,Bullock County,AL,29.05,22.05,72.45,4.7,0.25,0.15
1013,Butler County,AL,23.45,55.4,42.25,0.65,0.7,0.25
1015,Calhoun County,AL,20.3,74.65,19.9,2.85,0.75,0.45
1017,Chambers County,AL,24.15,58.95,37.95,1.45,0.35,0.2
1019,Cherokee County,AL,25,92,5.1,1.2,0.15,0.55
1021,Chilton County,AL,20.75,82.15,10,6.25,0.2,0.3
1023,Choctaw County,AL,18.1,55.25,43.35,0.55,0.1,0.05
1025,Clarke County,AL,24.75,54.4,42.65,0.75,0.65,0.9
1027,Clay County,AL,28.35,80.35,14.55,2.8,0.1,0.35
1029,Cleburne County,AL,21.55,92.7,4.35,1.55,0.1,0.35
1031,Coffee County,AL,16.2,73.3,17.25,5.25,1.15,0.95
1033,Colbert County,AL,18.6,80,16,1.8,0.4,0.5
1035,Conecuh County,AL,23.55,52.7,45.3,0.7,0.05,0.45
1037,Coosa County,AL,26.5,66.1,31.65,1.05,0.05,0.15
1039,Covington County,AL,19.75,84.25,12.45,1.2,0.4,0.55
1041,Crenshaw County,AL,19.95,72.25,22.5,1.3,2.2,0.5
1043,Cullman County,AL,20.45,92.9,1.1,4.1,0.35,0.45
1045,Dale County,AL,15.65,71.45,19.55,4.85,1.2,0.55
1047,Dallas County,AL,26.25,30.3,67.95,0.75,0.35,0.2
1049,DeKalb County,AL,30.45,83.5,1.45,12.05,0.25,1.05
1051,Elmore County,AL,14.2,74.85,20.65,2.25,0.55,0.35
1053,Escambia County,AL,17.2,61.8,31.55,1.65,0.3,3.45
1055,Etowah County,AL,19.35,80,14.7,3.1,0.55,0.3
1057,Fayette County,AL,29.4,85.65,11.35,1.15,0.15,0.2
1059,Franklin County,AL,27.55,80.3,3.8,14.15,0.2,0.45
1061,Geneva County,AL,20.5,84.95,9.85,2.95,0.25,0.5
1063,Greene County,AL,26.2,18.7,79.95,0.8,0.15,0.1
1065,Hale County,AL,25.8,39.85,58.75,0.65,0.25,0.1
1067,Henry County,AL,20.25,66.9,29.35,2.3,0.7,0.15
1069,Houston County,AL,14.3,69.55,25.4,2.45,0.85,0.4
1071,Jackson County,AL,28.3,90.2,3.4,2.15,0.25,1.35
1073,Jefferson County,AL,11.7,52.8,41.2,3.5,1.4,0.2
1075,Lamar County,AL,27.6,85.8,11.6,1.6,0,0.2
1077,Lauderdale County,AL,15.45,86.1,9.95,1.9,0.55,0.25
1079,Lawrence County,AL,24.65,77.2,11.75,1.7,0.15,5.1
1081,Lee County,AL,12.5,70.6,22.85,2.65,2.3,0.25
1083,Limestone County,AL,19.15,79.7,12.75,4.8,0.9,0.55
1085,Lowndes County,AL,26.15,26.6,71.95,0.5,0.05,0.25
1087,Macon County,AL,14.5,15.25,82.2,0.8,0.2,0.2
1089,Madison County,AL,10.9,67.4,23.55,3.7,2.35,0.55
1091,Marengo County,AL,21.5,46,52.15,1.05,0.15,0.1
1093,Marion County,AL,26.85,92.7,3.75,1.95,0.15,0.3
1095,Marshall County,AL,22.15,84.75,1.5,11.35,0.5,0.55
1097,Mobile County,AL,14,59.8,34.3,2.1,1.85,0.7
1099,Monroe County,AL,27.1,55.65,40.8,0.75,0.3,1.15
1101,Montgomery County,AL,13.3,40.55,53.6,2.75,1.75,0.2
1103,Morgan County,AL,20.5,78.7,11.6,6.75,0.65,0.8
1105,Perry County,AL,21.3,30.05,68.35,0.85,0.15,0.2
1107,Pickens County,AL,25.3,55.9,41.95,1.3,0.1,0.1
1109,Pike County,AL,17.95,58.05,36.65,1.95,1.4,0.75
1111,Randolph County,AL,29.4,75.3,20.9,2.3,0.1,0.3
1113,Russell County,AL,16.6,52.95,40.9,3.2,0.6,0.25
1115,Saint Clair County,AL,7.45,82.05,10.15,4.85,1.7,0.2
1117,Shelby County,AL,18.1,87.6,8.65,1.8,0.5,0.35
1119,Sumter County,AL,27.9,25.05,72.8,1,0.2,0.05
1121,Talladega County,AL,25.2,65.1,31.45,1.7,0.4,0.25
1123,Tallapoosa County,AL,20.6,70.6,26.1,1.8,0.35,0.2
1125,Tuscaloosa County,AL,14.85,65.1,30.1,2.5,1.15,0.25
1127,Walker County,AL,17.8,90.55,6.05,1.75,0.2,0.2
1129,Washington County,AL,29.6,64.9,25.4,0.55,0.25,7.85
1131,Wilcox County,AL,22.45,26.9,72.4,0.3,0,0.05
1133,Winston County,AL,32.25,95,0.3,2.6,0.15,0.45
4001,Apache County,AZ,10.75,19.9,0.25,5.9,0.35,72.2
4003,Cochise County,AZ,7.2,58.8,3.9,31.95,1.8,0.8
4005,Coconino County,AZ,11.1,54.8,1.1,13,1.25,27.45
4007,Gila County,AZ,10.1,66.45,0.3,17.4,0.35,14.35
4009,Graham County,AZ,11.7,53.15,2,29.05,0.5,14.1
4011,Greenlee County,AZ,11.1,49.05,0.5,46.9,0.45,1.65
4012,La Paz County,AZ,7.1,62.5,0.8,23.7,1.25,10.25
4013,Maricopa County,AZ,9.4,58.85,4.4,30.1,3.15,1.6
4015,Mohave County,AZ,12.05,80,0.8,14.25,1,1.65
4017,Navajo County,AZ,11.45,43.05,0.95,10.25,0.45,43.2
4019,Pima County,AZ,8.4,56.25,3.15,33.7,2.45,2.45
4021,Pinal County,AZ,11.4,58.45,3.85,29.15,1.45,4.75
4023,Santa Cruz County,AZ,13.25,17.35,0.15,81.35,0.4,0.35
4025,Yavapai County,AZ,9.55,82.45,0.55,13.1,0.75,1.45
4027,Yuma County,AZ,11.6,37.25,1.7,57.7,1,1
5001,Arkansas County,AR,20.3,71.8,24.35,2,0.5,0.1
5003,Ashley County,AR,24.2,67.75,26,4.7,0.2,0.1
5005,Baxter County,AR,16.15,96.1,0.15,1.55,0.4,0.5
5007,Benton County,AR,15.3,77.8,1.25,14.75,2.45,1.6
5009,Boone County,AR,16.55,95.45,0.3,1.65,0.45,0.6
5011,Bradley County,AR,30.75,58.6,27.95,12.3,0.1,0.1
5013,Calhoun County,AR,33.85,73.1,22.3,2.8,0.1,0.1
5015,Carroll County,AR,19.3,83.25,0.3,13.55,0.55,0.75
5017,Chicot County,AR,19.65,40.35,53.6,4.5,0.3,0.1
5019,Clark County,AR,14.8,70.7,22.65,4.05,0.7,0.4
5021,Clay County,AR,21.6,96.45,0.25,1.35,0.05,0.85
5023,Cleburne County,AR,20.25,95.8,0.5,1.85,0.1,0.55
5025,Cleveland County,AR,18.5,83.65,13.15,1.95,0.05,0.25
5027,Columbia County,AR,15.45,59.55,36.6,2,0.8,0.35
5029,Conway County,AR,21.05,82.6,11.65,3.35,0.25,0.55
5031,Craighead County,AR,15.85,81.5,12,3.95,0.95,0.3
5033,Crawford County,AR,23.75,87.35,1.25,5.65,1.35,1.65
5035,Crittenden County,AR,18.95,46.35,49.45,2.05,0.55,0.15
5037,Cross County,AR,18.3,74.35,23.25,1.5,0.25,0.2
5039,Dallas County,AR,33.55,54.35,42.1,2.55,0.05,0.25
5041,Desha County,AR,23.35,46.95,47.3,4.3,0.15,0.4
5043,Drew County,AR,20.2,67.9,27.95,2.65,0.55,0.15
5045,Faulkner County,AR,12.8,83.3,10.25,3.4,0.95,0.4
5047,Franklin County,AR,22.35,93.65,0.4,2.2,0.6,0.75
5049,Fulton County,AR,16.65,96.25,0.15,0.9,0.1,0.85
5051,Garland County,AR,11.1,84.6,7.95,4.3,0.7,0.6
5053,Grant County,AR,19.8,93.35,3.1,2.05,0.25,0.3
5055,Greene County,AR,25.5,95.45,0.7,1.9,0.3,0.55
5057,Hempstead County,AR,28.05,56,29.2,12.9,0.2,0.35
5059,Hot Spring County,AR,19.4,84.4,10.55,2.5,0.25,0.35
5061,Howard County,AR,33,66.9,20.65,10.15,0.45,0.6
5063,Independence County,AR,23.75,90.8,2.2,4.4,0.9,0.4
5065,Izard County,AR,15.15,94.95,1.5,1.4,0.45,0.4
5067,Jackson County,AR,22.55,78,17.95,2.1,0.15,0.55
5069,Jefferson County,AR,18.85,42.75,53.25,1.55,0.95,0.3
5071,Johnson County,AR,29.9,84.2,1.45,11.65,0.4,0.85
5073,Lafayette County,AR,18.15,60.35,37.35,1.3,0.15,0.1
5075,Lawrence County,AR,21.15,96.45,0.55,1,0.05,0.85
5077,Lee County,AR,11.9,40.85,56.05,1.4,0.4,0.7
5079,Lincoln County,AR,19.25,65.1,30.9,2.65,0.1,0.25
5081,Little River County,AR,22.45,73.9,20.4,2.05,0.15,1.7
5083,Logan County,AR,23.8,92.6,1.15,2.3,1.35,0.95
5085,Lonoke County,AR,14.35,88,6.35,3,0.75,0.5
5087,Madison County,AR,19.4,92,0.25,4.7,0.3,1.25
5089,Marion County,AR,24.25,95.9,0.1,1.45,0.4,0.8
5091,Miller County,AR,17.55,71.1,24,2.25,0.6,0.75
5093,Mississippi County,AR,27.55,60.95,33.75,3.35,0.55,0.2
5095,Monroe County,AR,22.15,56.8,39.9,1.3,0.95,0.5
5097,Montgomery County,AR,19.3,92.45,0.1,4,0.25,1.65
5099,Nevada County,AR,32.95,64.35,29.15,4.25,0.4,0.25
5101,Newton County,AR,23.55,95.35,0.25,1.1,0.15,0.75
5103,Ouachita County,AR,25.45,56.85,39.75,1.45,0.25,0.3
5105,Perry County,AR,22.8,93.7,2.2,2,0.2,0.35
5107,Phillips County,AR,14.9,35.2,62.3,1.6,0.2,0.1
5109,Pike County,AR,22.35,88.2,3.4,5.9,0.5,1
5111,Poinsett County,AR,23.5,88.9,7.25,2.25,0.15,0.3
5113,Polk County,AR,21.9,90.55,0.2,5.15,0.2,1.65
5115,Pope County,AR,19,88.1,3,5.6,0.9,0.5
5117,Prairie County,AR,17.65,84.4,13.85,0.6,0.1,0.55
5119,Pulaski County,AR,10.35,56.65,34.25,5,1.85,0.3
5121,Randolph County,AR,21.25,95.6,0.85,1.5,0.3,0.4
5123,Saint Francis County,AR,11.9,90,4.35,3.1,0.9,0.45
5125,Saline County,AR,32.1,85.25,0.25,7.7,3.55,1.05
5127,Scott County,AR,17.85,95.5,0,1.05,0.15,1.4
5129,Searcy County,AR,23.3,73.85,6.1,11.6,3.85,1.3
5131,Sebastian County,AR,31.75,61.8,3.9,30.05,0.6,1.85
5133,Sevier County,AR,20.15,95.15,0.45,1.5,0.15,0.75
5135,Sharp County,AR,18.45,42.8,50.7,4.8,0.35,0.35
5137,Stone County,AR,21.3,96.85,0.05,1.45,0.3,0.35
5139,Union County,AR,20.8,62.4,32.9,2.75,0.7,0.25
5141,Van Buren County,AR,24.3,94.45,0.7,2.2,0.15,1.25
5143,Washington County,AR,14.7,75.85,3,14.3,2.2,1.2
5145,White County,AR,17.65,90.05,4.1,3.3,0.45,0.45
5147,Woodruff County,AR,17.85,68.9,28.75,0.7,0.1,0.35
5149,Yell County,AR,29.2,76.3,1.3,19.25,1.25,0.4
6001,Alameda County,CA,9.75,35.6,12.4,21.9,25.15,0.3
6003,Alpine County,CA,9.5,71.7,0,4.7,1.55,19.4
6005,Amador County,CA,10.05,80.1,2.35,11.55,1.1,1.55
6007,Butte County,CA,9.95,76.05,1.45,13.45,4.05,1.2
6009,Calaveras County,CA,9.45,83.55,1.1,10.05,1.3,1.55
6011,Colusa County,CA,15.15,41.5,0.95,52.95,1,1.25
6013,Contra Costa County,CA,7.9,49.5,8.95,23.35,13.75,0.3
6015,Del Norte County,CA,7.05,66.05,3.4,16.95,3.1,5.6
6017,El Dorado County,CA,7.8,80.3,0.55,11.8,3.75,0.75
6019,Fresno County,CA,12.25,34.15,4.85,49.2,9,0.6
6021,Glenn County,CA,16.3,56.85,0.7,36.05,2.75,1.7
6023,Humboldt County,CA,9.25,78.15,1,9.05,2.1,5.15
6025,Imperial County,CA,11.8,15.2,3.1,78.25,1.6,1
6027,Inyo County,CA,9.65,67.4,0.35,18.55,1.3,10.25
6029,Kern County,CA,12.7,40.2,5.5,47.65,3.75,0.65
6031,Kings County,CA,14.8,36.6,7.1,49.65,3.35,0.95
6033,Lake County,CA,10.4,75,2.05,16.25,1.2,2.1
6035,Lassen County,CA,9.75,67.5,8.95,16.45,1,2.8
6037,Los Angeles County,CA,13.25,28.35,8.45,47.5,13.2,0.2
6039,Madera County,CA,12.7,39.5,3.6,51.85,1.75,1.1
6041,Marin County,CA,4.5,73.9,2.8,14.55,5.5,0.2
6043,Mariposa County,CA,9.45,82.6,0.65,9.65,1.15,2.2
6045,Mendocino County,CA,10.65,69.8,0.6,21.15,1.55,4.25
6047,Merced County,CA,17.6,33.45,3.45,53.5,6.95,0.45
6049,Modoc County,CA,6.85,79.35,1.35,13.3,0.8,3.25
6051,Mono County,CA,5.65,69.3,0.6,24.7,1.05,2.1
6053,Monterey County,CA,11.25,34.3,2.9,53.75,5.9,0.3
6055,Napa County,CA,11.6,58.45,1.85,30.7,6.1,0.45
6057,Nevada County,CA,6.85,87.15,0.4,8,1.2,0.75
6059,Orange County,CA,10.6,45.4,1.55,33.45,16.85,0.25
6061,Placer County,CA,6.8,77.1,1.35,12.3,5.5,0.65
6063,Plumas County,CA,11.1,85.8,0.9,7.7,0.8,2.55
6065,Riverside County,CA,12.65,41.1,5.95,44.35,5.45,0.5
6067,Sacramento County,CA,8.85,50.3,9.85,20.65,13.6,0.65
6069,San Benito County,CA,13.9,39.65,0.8,54.5,2.4,0.5
6071,San Bernardino County,CA,15.8,34.8,8.45,47.9,5.85,0.45
6073,San Diego County,CA,8.25,49.85,4.8,31.2,10.3,0.45
6075,San Francisco County,CA,5.75,43.25,6.1,14.65,32.1,0.25
6077,San Joaquin County,CA,15.2,37.65,7.05,37.65,13.55,0.5
6079,San Luis Obispo County,CA,7.2,72.2,1.9,19.8,3,0.55
6081,San Mateo County,CA,7.45,44,2.85,24.25,24.1,0.2
6083,Santa Barbara County,CA,8.5,50.2,1.75,40.85,4.4,0.45
6085,Santa Clara County,CA,8.45,36.8,2.4,26.3,30.85,0.25
6087,Santa Cruz County,CA,7.85,61.25,0.95,30.5,3.9,0.35
6089,Shasta County,CA,9.1,82.85,0.9,8.05,2.45,2.35
6091,Sierra County,CA,11.8,87,0.45,10,0.2,0.85
6093,Siskiyou County,CA,11.1,80.15,1.3,10,1.35,2.9
6095,Solano County,CA,10.85,42.45,14.15,23,14,0.5
6097,Sonoma County,CA,9.6,67.5,1.45,23.6,3.75,0.75
6099,Stanislaus County,CA,16.55,48.35,2.65,40.4,4.9,0.65
6101,Sutter County,CA,12.75,52.2,1.8,27.9,13.25,0.85
6103,Tehama County,CA,14.25,72.85,0.65,20.95,1.15,1.7
6105,Trinity County,CA,10.15,84.55,0.4,6.05,0.85,2.75
6107,Tulare County,CA,14.35,34.45,1.25,58.65,3.25,0.75
6109,Tuolumne County,CA,9.85,82.25,2.15,10.3,0.95,1.4
6111,Ventura County,CA,9.85,50.3,1.65,38.8,6.5,0.3
6113,Yolo County,CA,9.25,51.7,2.35,29.4,12.1,0.6
6115,Yuba County,CA,14.15,59.65,2.45,23.75,6.7,1.55
8001,Adams County,CO,14.35,54.85,2.85,36.4,3.35,0.55
8003,Alamosa County,CO,6.75,50.15,0.65,44.9,0.75,0.55
8005,Arapahoe County,CO,8.4,64.95,9.4,17.6,4.7,0.45
8007,Archuleta County,CO,6.9,79.75,0.5,16.55,0.7,0.75
8009,Baca County,CO,13.8,87.55,0.55,9.25,0.3,0.85
8011,Bent County,CO,9.3,58.45,6.55,31.05,1.05,2.45
8013,Boulder County,CO,7.05,79.75,0.8,13.15,3.9,0.35
8014,Broomfield County,CO,8,79.95,0.75,11.15,5.3,0.25
8015,Chaffee County,CO,8.15,86.75,1.5,9.25,0.55,0.8
8017,Cheyenne County,CO,9.05,90.25,0.2,8.05,0.7,0.35
8019,Clear Creek County,CO,8.6,91.5,0.3,5.15,0.5,0.7
8021,Conejos County,CO,10.35,42.05,0.2,55.85,0.15,0.3
8023,Costilla County,CO,16.75,31.95,0.3,64.15,1.05,0.4
8025,Crowley County,CO,10.6,61.7,8.75,26.4,0.8,1.65
8027,Custer County,CO,9.9,92.3,0.5,4.55,0.6,1.15
8029,Delta County,CO,11.8,83.3,0.55,13.65,0.5,0.55
8031,Denver County,CO,9.05,51.5,9.7,32.8,3.15,0.65
8033,Dolores County,CO,8,91.75,0.05,3.8,0.15,2.85
8035,Douglas County,CO,4.8,85.5,1.25,7.3,3.6,0.25
8037,Eagle County,CO,6.3,68.4,0.3,28.9,1.15,0.25
8039,Elbert County,CO,8.6,72.8,5.85,14.25,2.75,0.6
8041,El Paso County,CO,9.45,90.55,0.75,5.5,0.6,0.65
8043,Fremont County,CO,10,80.35,4.25,11.55,0.6,1.8
8045,Garfield County,CO,10.15,71.05,0.25,26,0.55,0.3
8047,Gilpin County,CO,4.45,90.8,1.15,5.2,0.9,0.6
8049,Grand County,CO,6.65,90.5,0.35,6.55,0.6,0.2
8051,Gunnison County,CO,7.15,89.5,0.25,7.3,0.4,0.6
8053,Hinsdale County,CO,1.45,94.05,0.2,1.4,0.9,2.2
8055,Huerfano County,CO,6.3,59.75,1.2,35,0.4,0.75
8057,Jackson County,CO,14.2,90.5,0,7.7,0.05,0.85
8059,Jefferson County,CO,8.35,80.15,1,13.95,2.6,0.5
8061,Kiowa County,CO,8.5,93.9,0.1,4.3,0.55,0.25
8063,Kit Carson County,CO,10.15,76.1,2.65,18.8,0.9,0.55
8065,Lake County,CO,7.75,80.5,0.45,11.4,0.6,5.1
8067,La Plata County,CO,9.8,56.75,0.25,40.55,0.5,1
8069,Larimer County,CO,8.95,84.9,0.75,10.25,1.85,0.35
8071,Las Animas County,CO,14.4,54.75,0.95,40.95,0.4,1.3
8073,Lincoln County,CO,8.8,79.9,5.4,11.6,0.85,0.8
8075,Logan County,CO,13.35,79.65,3.15,14.75,0.5,0.65
8077,Mesa County,CO,11.35,83.8,0.55,12.6,0.65,0.6
8079,Mineral County,CO,7.45,95.9,0.15,2.05,0.3,0.6
8081,Moffat County,CO,15.55,82.65,0.1,14.3,0.65,1
8083,Montezuma County,CO,8.3,75.15,0.1,10.35,0.45,11.9
8085,Montrose County,CO,11.7,78.5,0.3,18.55,0.55,0.4
8087,Morgan County,CO,25.55,62.85,1.65,33.65,0.4,0.65
8089,Otero County,CO,11.2,56.95,0.5,39.65,0.75,0.9
8091,Ouray County,CO,4.25,92.95,0.05,5.2,0.5,0.15
8093,Park County,CO,7.3,91.4,0.45,5.2,1.1,0.65
8095,Phillips County,CO,8.3,77.45,0.25,20.7,0.5,0.3
8097,Pitkin County,CO,3.5,88.2,0.3,8.8,1.2,0.1
8099,Prowers County,CO,11.7,61.1,0.35,36.45,0.3,0.35
8101,Pueblo County,CO,11.05,55.15,1.6,40.3,0.7,0.6
8103,Rio Blanco County,CO,14.4,87.7,0.35,8.85,0.15,0.35
8105,Rio Grande County,CO,12.1,57.35,0.2,40.25,0.5,0.6
8107,Routt County,CO,6.95,91.85,0.45,5.55,0.7,0.5
8109,Saguache County,CO,14.6,53.25,0.15,43.6,0.6,0.95
8111,San Juan County,CO,5.6,85.65,0,11.15,0.5,0.05
8113,San Miguel County,CO,4.15,88.35,0.15,8.9,0.8,0.35
8115,Sedgwick County,CO,12.8,87.1,0.15,10.55,0.7,0.15
8117,Summit County,CO,6.4,82.65,0.65,14.05,1.3,0.1
8119,Teller County,CO,7.45,90.45,0.35,5.25,0.8,1.05
8121,Washington County,CO,12.3,89.15,0.3,9.15,0.2,0.2
8123,Weld County,CO,13.15,68.3,0.65,27.9,1.15,0.5
8125,Yuma County,CO,10.8,78.5,0.15,20.25,0.1,0.5
