FIPS,<9th Grade (%),High School (%),Associate's Degree (%),Bachelor's Degree (%),Graduate Degree (%)
1000,6.4,31.8,6.7,13.7,7.8
1001,4.8,34.6,6.6,14.6,7.3
1003,3.7,29.8,7.7,17.5,9.2
1005,9.8,36.2,7.4,7.1,5.3
1007,9.5,39.8,4.9,7.9,3.2
1009,10.0,36.5,5.8,8.3,4.1
1011,12.8,38.6,2.8,6.0,3.0
1013,8.2,39.0,7.2,9.6,2.8
1015,7.0,34.0,6.4,10.4,7.1
1017,8.7,35.7,6.9,7.2,3.1
1019,9.0,35.6,5.3,6.2,3.8
1021,8.5,38.4,5.5,6.8,4.6
1023,14.0,40.6,6.8,6.9,3.9
1025,7.9,42.7,6.0,9.0,4.6
1027,9.2,38.4,7.2,5.7,3.2
1029,11.0,39.8,5.1,6.5,3.7
1031,8.5,28.1,8.3,13.7,7.9
1033,6.9,35.3,7.3,11.0,5.9
1035,8.3,40.5,9.2,5.4,3.9
1037,10.6,45.2,3.4,5.6,3.6
1039,8.5,35.8,8.2,8.6,4.7
1041,10.5,36.6,4.6,7.2,4.0
1043,8.7,34.0,8.6,8.2,5.1
1045,5.6,30.7,9.5,11.3,5.3
1047,8.1,36.3,7.8,8.3,5.6
1049,15.2,33.7,6.2,6.1,4.1
1051,5.4,36.5,5.8,12.5,6.3
1053,7.6,36.7,8.6,7.5,3.6
1055,6.2,32.8,7.9,9.7,5.7
1057,10.7,38.0,7.3,6.0,3.7
1059,13.4,33.4,7.4,6.7,4.9
1061,10.8,37.1,8.3,5.3,3.0
1063,12.4,34.3,6.1,4.9,4.3
1065,9.1,36.1,5.0,5.4,3.7
1067,6.9,38.1,6.1,9.1,4.6
1069,6.4,32.2,7.5,12.6,6.9
1071,10.8,37.9,5.9,7.4,3.9
1073,4.1,28.7,6.6,17.6,10.5
1075,9.1,42.0,6.0,5.7,3.3
1077,6.2,33.5,6.2,12.9,7.4
1079,8.5,39.2,7.1,7.4,2.9
1081,4.8,26.7,7.3,17.2,13.4
1083,8.2,33.6,6.7,12.6,5.6
1085,9.7,39.8,5.1,9.3,4.2
1087,9.3,28.9,8.4,10.7,9.4
1089,3.8,22.4,6.6,24.6,13.3
1091,7.0,38.9,5.5,10.9,4.8
1093,10.4,33.6,8.0,5.1,3.9
1095,11.2,31.0,7.2,9.4,5.3
1097,4.8,34.5,7.1,12.9,6.8
1099,6.6,39.5,8.6,7.8,3.7
1101,4.4,26.9,5.6,18.3,12.2
1103,7.0,31.6,6.9,13.5,6.1
1105,12.6,39.3,5.4,6.1,5.5
1107,10.2,42.4,4.3,8.3,4.0
1109,7.9,34.2,3.2,13.3,8.8
1111,11.0,35.3,5.9,7.3,5.8
1113,8.7,34.9,6.9,7.9,4.0
1115,6.2,37.1,5.9,9.5,5.0
1117,2.9,22.5,6.8,27.8,12.1
1119,10.2,40.6,4.9,7.5,4.6
1121,7.9,36.4,6.2,7.2,4.5
1123,8.6,33.2,6.9,9.9,5.8
1125,5.1,30.5,5.9,15.6,11.3
1127,8.7,35.7,8.2,5.4,4.4
1129,10.6,43.3,5.1,6.6,2.5
1131,11.0,35.4,6.3,13.9,3.1
1133,12.5,33.4,6.0,6.2,5.5
2000,3.5,28.5,7.9,17.1,9.5
2013,18.3,25.7,8.3,11.0,1.6
2016,15.5,36.1,8.8,7.0,1.5
2020,2.9,23.8,8.0,20.9,11.4
2050,12.4,41.2,2.8,9.2,5.1
2060,7.8,26.7,8.8,12.0,2.2
2068,0.2,30.7,8.8,19.5,5.1
2070,11.0,34.8,4.3,11.4,9.1
2090,2.2,27.7,9.5,15.1,11.1
2100,0.8,30.5,3.4,26.6,9.6
2105,4.6,30.1,9.8,15.2,7.3
2110,1.6,25.3,6.1,23.7,12.1
2122,2.5,34.7,8.0,13.6,7.8
2130,1.5,31.7,7.5,16.2,7.9
2150,6.7,27.4,10.0,14.9,5.7
2164,12.1,31.8,5.3,10.8,6.5
2170,2.3,33.0,8.8,13.7,6.3
2180,8.9,40.3,3.0,10.2,4.9
2185,8.0,37.2,2.4,9.5,9.8
2188,9.2,45.1,2.6,8.8,4.4
2195,1.9,36.0,10.0,16.4,8.4
2198,1.8,41.2,5.3,10.0,5.4
2220,1.9,27.4,10.7,14.4,11.8
2230,1.2,20.3,6.4,23.7,7.2
2240,4.2,31.2,7.3,11.0,5.5
2261,3.4,25.1,9.1,15.4,6.6
2270,13.8,42.7,2.3,7.1,4.1
2275,0.9,41.5,8.9,12.6,2.2
2282,4.2,36.3,9.3,10.4,6.6
2290,10.1,38.5,3.3,7.7,5.2
4000,7.2,25.6,7.8,16.4,9.3
4001,17.4,31.5,7.9,5.9,3.9
4003,7.2,24.8,9.5,13.4,8.3
4005,6.0,23.7,7.1,17.4,12.7
4007,5.3,34.0,9.2,8.9,5.6
4009,6.2,32.5,8.9,8.2,5.3
4011,4.3,35.9,6.6,9.2,3.8
4012,10.8,35.4,3.7,6.5,3.4
4013,7.4,24.3,7.8,18.2,9.9
4015,4.2,35.2,7.0,8.1,4.1
