Areaname,FIPS,"<18y No Ins, 2005-2007 (%)","18-64y No Ins, 2005-2007 (%)"
ALABAMA,1000,8.1,18.1
"Autauga, AL",1001,8.6,16.2
"Baldwin, AL",1003,11.5,23
"Barbour, AL",1005,7.7,17.9
"Bibb, AL",1007,8.3,19.7
"Blount, AL",1009,11.8,22.7
"Bullock, AL",1011,7.7,20.7
"Butler, AL",1013,6.9,17.5
"Calhoun, AL",1015,6.4,16
"Chambers, AL",1017,6.5,15.6
"Cherokee, AL",1019,9.5,20
"Chilton, AL",1021,10.7,19.9
"Choctaw, AL",1023,8.8,19.4
"Clarke, AL",1025,8.2,17.6
"Clay, AL",1027,9.7,20
"Cleburne, AL",1029,9.7,19.2
"Coffee, AL",1031,9.7,19.4
"Colbert, AL",1033,7.6,17
"Conecuh, AL",1035,7.6,17.5
"Coosa, AL",1037,9.3,19.7
"Covington, AL",1039,7.7,18.6
"Crenshaw, AL",1041,9.4,21
"Cullman, AL",1043,9.5,21
"Dale, AL",1045,9.1,17.7
"Dallas, AL",1047,5.2,13.5
"DeKalb, AL",1049,10.6,23.6
"Elmore, AL",1051,10.2,17
"Escambia, AL",1053,7,19.4
"Etowah, AL",1055,8.1,17.7
"Fayette, AL",1057,7.2,16.7
"Franklin, AL",1059,10.2,22.2
"Geneva, AL",1061,9,20
"Greene, AL",1063,6.6,17.5
"Hale, AL",1065,6.9,17.5
"Henry, AL",1067,10.9,21.2
"Houston, AL",1069,7.7,17
"Jackson, AL",1071,7.8,17.7
"Jefferson, AL",1073,6.6,15.3
"Lamar, AL",1075,8.8,19.4
"Lauderdale, AL",1077,7.4,20.4
"Lawrence, AL",1079,8.3,18.5
"Lee, AL",1081,9.2,26.7
"Limestone, AL",1083,9.5,18.8
"Lowndes, AL",1085,9.1,18.9
"Macon, AL",1087,5.9,16.9
"Madison, AL",1089,10,18
"Marengo, AL",1091,7.7,16.6
"Marion, AL",1093,8.5,19.1
"Marshall, AL",1095,9.9,21.4
"Mobile, AL",1097,7.1,18.9
"Monroe, AL",1099,7.6,16.9
"Montgomery, AL",1101,6.2,15.6
"Morgan, AL",1103,8.6,19.1
"Perry, AL",1105,7.3,16.7
"Pickens, AL",1107,10.7,19.4
"Pike, AL",1109,7.2,20.1
"Randolph, AL",1111,8.5,18.9
"Russell, AL",1113,7.1,17.8
"St. Clair, AL",1115,9.3,18.9
"Shelby, AL",1117,9.2,14.5
"Sumter, AL",1119,7.2,19
"Talladega, AL",1121,6.1,13.9
"Tallapoosa, AL",1123,7.2,15.7
"Tuscaloosa, AL",1125,7.1,19.1
"Walker, AL",1127,7.1,15.7
"Washington, AL",1129,10.4,19.9
"Wilcox, AL",1131,9.4,18.4
"Winston, AL",1133,7.3,16.4
ALASKA,2000,11.7,22
"Aleutians East, AK",2013,10,39.5
"Aleutians West, AK",2016,14.3,31.1
"Anchorage, AK",2020,10.1,20
"Bethel, AK",2050,12.2,17.3
"Bristol Bay, AK",2060,14.6,25.7
"Denali, AK",2068,9.4,24.9
"Dillingham, AK",2070,15,21.7
"Fairbanks North Star, AK",2090,12,21.6
"Haines, AK",2100,12.7,27.5
"Hoonah-Angoon, AK",2105,16.5,27.3
"Juneau, AK",2110,9,16.4
"Kenai Peninsula, AK",2122,14.9,25.9
"Ketchikan Gateway, AK",2130,11.3,19.5
"Kodiak Island, AK",2150,11.6,27.6
"Lake and Peninsula, AK",2164,15.4,30.6
"Matanuska-Susitna, AK",2170,13.9,25.6
"Nome, AK",2180,11.9,18.7
"North Slope, AK",2185,10.8,18.6
"Northwest Arctic, AK",2188,9.8,15.8
"Petersburg, AK",2195,11.5,25.8
"Prince of Wales-Hyder, AK",2198,16.4,24.8
"Sitka, AK",2220,10.5,22.1
"Skagway, AK",2230,0,0
"Southeast Fairbanks, AK",2240,19.9,32.4
"Valdez-Cordova, AK",2261,13.6,27.4
"Wade Hampton, AK",2270,13.1,17.9
"Wrangell, AK",2275,0,0
"Yakutat, AK",2282,16.1,27.2
"Yukon-Koyukuk, AK",2290,15.1,26.8
ARIZONA,4000,14.9,23.9
"Apache, AZ",4001,10.4,12.3
"Cochise, AZ",4003,14.5,21
"Coconino, AZ",4005,15.1,22.5
"Gila, AZ",4007,13.5,17.5
"Graham, AZ",4009,14.1,18.7
"Greenlee, AZ",4011,10.4,15.5
"La Paz, AZ",4012,17.9,23.1
