Areaname,FIPS,Poverty Change 2000-2009 (%),Mean Poverty 2000-2009 (%)
ALABAMA,1000,2.9,16.05
"Autauga, AL",1001,0.7,10.88
"Baldwin, AL",1003,3.6,10.76
"Barbour, AL",1005,10.6,25.05
"Bibb, AL",1007,0.3,17.78
"Blount, AL",1009,2.6,12.75
"Bullock, AL",1011,6.1,32.28
"Butler, AL",1013,8.7,22.45
"Calhoun, AL",1015,3.9,16.87
"Chambers, AL",1017,5.3,17.07
"Cherokee, AL",1019,2.8,16.94
"Chilton, AL",1021,3.4,16.48
"Choctaw, AL",1023,4,21.13
"Clarke, AL",1025,10,21.62
"Clay, AL",1027,4.9,15.51
"Cleburne, AL",1029,2.6,15.34
"Coffee, AL",1031,1.3,14.89
"Colbert, AL",1033,2.9,14.61
"Conecuh, AL",1035,4.7,24.51
"Coosa, AL",1037,2.2,15.56
"Covington, AL",1039,4.9,18.64
"Crenshaw, AL",1041,1.5,19.42
"Cullman, AL",1043,6.5,14.68
"Dale, AL",1045,0.9,16.11
"Dallas, AL",1047,10.6,28.52
"DeKalb, AL",1049,6.9,17.38
"Elmore, AL",1051,2.1,12.65
"Escambia, AL",1053,3.4,21.05
"Etowah, AL",1055,1.7,16.46
"Fayette, AL",1057,4.1,17.36
"Franklin, AL",1059,4.9,18.65
"Geneva, AL",1061,1,18.93
"Greene, AL",1063,1.6,29.1
"Hale, AL",1065,4.9,24.34
"Henry, AL",1067,2.4,17.37
"Houston, AL",1069,2.7,15.72
"Jackson, AL",1071,3.1,15.81
"Jefferson, AL",1073,3.7,14.55
"Lamar, AL",1075,2.1,17.31
"Lauderdale, AL",1077,1.8,15.95
"Lawrence, AL",1079,2.2,14.94
"Lee, AL",1081,6.5,16.89
"Limestone, AL",1083,1.3,12.7
"Lowndes, AL",1085,4.5,26.41
"Macon, AL",1087,11,29.91
"Madison, AL",1089,0.2,10.79
"Marengo, AL",1091,4.4,22.19
"Marion, AL",1093,4.3,18.59
"Marshall, AL",1095,4.8,16.95
"Mobile, AL",1097,1.6,18.97
"Monroe, AL",1099,4.6,20.56
"Montgomery, AL",1101,3.9,17.97
"Morgan, AL",1103,4.8,13.56
"Perry, AL",1105,0,31.81
"Pickens, AL",1107,7.9,22.24
"Pike, AL",1109,5.8,24.27
"Randolph, AL",1111,4.4,18.01
"Russell, AL",1113,2.8,20.08
"St. Clair, AL",1115,1,12.84
"Shelby, AL",1117,0.5,6.68
"Sumter, AL",1119,6.5,31.14
"Talladega, AL",1121,2,18.01
"Tallapoosa, AL",1123,2.1,17.37
"Tuscaloosa, AL",1125,4.8,17.69
"Walker, AL",1127,1.1,16.26
"Washington, AL",1129,2.3,18.37
"Wilcox, AL",1131,4,32.32
"Winston, AL",1133,7.3,18.95
ALASKA,2000,0.6,9.62
"Aleutians East, AK",2013,1.3,13.98
"Aleutians West, AK",2016,3,8.05
"Anchorage, AK",2020,0.9,8.03
"Bethel, AK",2050,-1.5,21.41
"Bristol Bay, AK",2060,1.9,7.7
"Denali, AK",2068,0,5.59
"Dillingham, AK",2070,0.6,19.49
"Fairbanks North Star, AK",2090,0.9,7.77
"Haines, AK",2100,-0.4,11.18
"Hoonah-Angoon, AK",2105,9.4,11.94
"Juneau, AK",2110,0.8,6.82
"Kenai Peninsula, AK",2122,-0.2,9.87
"Ketchikan Gateway, AK",2130,1.1,8.42
"Kodiak Island, AK",2150,-0.3,8
"Lake and Peninsula, AK",2164,-1.2,18.16
"Matanuska-Susitna, AK",2170,-0.1,9.79
"Nome, AK",2180,4,19.82
"North Slope, AK",2185,0,11.08
"Northwest Arctic, AK",2188,-0.5,17.8
"Petersburg, AK",2195,0.9,9.24
"Prince of Wales-Hyder, AK",2198,0.9,15.42
"Sitka, AK",2220,0.8,7.64
"Skagway, AK",2230,4,0.4
"Southeast Fairbanks, AK",2240,-4.8,15.08
"Valdez-Cordova, AK",2261,0.1,8.93
"Wade Hampton, AK",2270,2.1,29.25
"Wrangell, AK",2275,10.5,1.05
"Yakutat, AK",2282,5.6,11.97
"Yukon-Koyukuk, AK",2290,4.6,21.19
ARIZONA,4000,4,14.17
"Apache, AZ",4001,4.6,32.41
"Cochise, AZ",4003,-0.5,16.76
"Coconino, AZ",4005,2.4,16.39
"Gila, AZ",4007,2.9,18.33
"Graham, AZ",4009,0.2,22.15
"Greenlee, AZ",4011,1.2,11.15
"La Paz, AZ",4012,4.7,21.74
"Maricopa, AZ",4013,4.9,12.58
"Mohave, AZ",4015,2.4,15.73
"Navajo, AZ",4017,3.1,24.5
"Pima, AZ",4019,5.9,14.99
"Pinal, AZ",4021,-2.1,14.93
"Santa Cruz, AZ",4023,3.3,20.7
"Yavapai, AZ",4025,2.2,12.71
"Yuma, AZ",4027,-2.2,19.57
ARKANSAS,5000,3.5,16.67
"Arkansas, AR",5001,1,17.72
"Ashley, AR",5003,5.2,18.8
"Baxter, AR",5005,3.8,14.26
"Benton, AR",5007,3.8,10.41
"Boone, AR",5009,1.5,15.46
"Bradley, AR",5011,7,23.14
"Calhoun, AR",5013,2.5,16.08
"Carroll, AR",5015,1.9,16.37
"Chicot, AR",5017,5,30.96
"Clark, AR",5019,5.5,19.8
"Clay, AR",5021,4.3,18.1
"Cleburne, AR",5023,3.3,15.23
"Cleveland, AR",5025,1.9,15.29
"Columbia, AR",5027,7,21.47
"Conway, AR",5029,3.9,17.11
"Craighead, AR",5031,3.9,16.19
"Crawford, AR",5033,3.8,15.66
"Crittenden, AR",5035,7.2,23.54
"Cross, AR",5037,0,19.14
"Dallas, AR",5039,3.9,20.58
"Desha, AR",5041,3.7,25.85
"Drew, AR",5043,6.1,19.61
"Faulkner, AR",5045,3.6,13.21
"Franklin, AR",5047,3.2,17.03
"Fulton, AR",5049,3.4,19.79
"Garland, AR",5051,0,16.06
"Grant, AR",5053,2,11.09
"Greene, AR",5055,1,15.45
"Hempstead, AR",5057,8.6,20.96
"Hot Spring, AR",5059,3.3,15.35
"Howard, AR",5061,4.1,17.57
"Independence, AR",5063,6.6,15.61
"Izard, AR",5065,5.9,19.8
"Jackson, AR",5067,8.1,23.51
"Jefferson, AR",5069,5.8,21.7
"Johnson, AR",5071,3.4,17.73
"Lafayette, AR",5073,3.3,23.59
"Lawrence, AR",5075,5.5,20.46
"Lee, AR",5077,12.6,34.4
"Lincoln, AR",5079,7.4,26.82
"Little River, AR",5081,-0.8,16.84
"Logan, AR",5083,5,17.36
"Lonoke, AR",5085,2.8,11.28
"Madison, AR",5087,2,17.5
"Marion, AR",5089,3.2,18.15
"Miller, AR",5091,1,18.61
"Mississippi, AR",5093,3.4,23.56
"Monroe, AR",5095,3.1,25.4
"Montgomery, AR",5097,3.3,18.4
"Nevada, AR",5099,3,20.39
"Newton, AR",5101,4.1,22.02
"Ouachita, AR",5103,3.9,19.94
"Perry, AR",5105,4.4,15.9
"Phillips, AR",5107,6.4,32
"Pike, AR",5109,2.8,16.95
"Poinsett, AR",5111,7.2,22.39
"Polk, AR",5113,3.5,19.76
"Pope, AR",5115,3.6,16.33
"Prairie, AR",5117,3.6,16.76
"Pulaski, AR",5119,4.3,14.66
"Randolph, AR",5121,2.9,18.35
"St. Francis, AR",5123,6.1,28.66
"Saline, AR",5125,0.1,9.4
"Scott, AR",5127,5.1,20.64
"Searcy, AR",5129,3.3,24.13
"Sebastian, AR",5131,4.2,15.52
"Sevier, AR",5133,5.4,19.47
"Sharp, AR",5135,2,20.78
"Stone, AR",5137,4.4,20.51
"Union, AR",5139,7.2,18.66
"Van Buren, AR",5141,1.2,17.95
"Washington, AR",5143,6,14.7
"White, AR",5145,1.6,15.88
"Woodruff, AR",5147,4.1,25.76
"Yell, AR",5149,3.1,16.79
CALIFORNIA,6000,1.5,13.22
"Alameda, CA",6001,2,10.42
"Alpine, CA",6003,-0.4,15.72
"Amador, CA",6005,1.4,9.76
"Butte, CA",6007,1.3,17.35
"Calaveras, CA",6009,0.5,10.41
"Colusa, CA",6011,-1.7,13.54
"Contra Costa, CA",6013,2.8,7.88
"Del Norte, CA",6015,1.3,21.56
"El Dorado, CA",6017,0.3,7.47
"Fresno, CA",6019,0.9,20.8
"Glenn, CA",6021,-2,16.37
"Humboldt, CA",6023,3.1,16.84
"Imperial, CA",6025,-1.9,21.51
"Inyo, CA",6027,0.6,11.23
"Kern, CA",6029,3.6,19.36
"Kings, CA",6031,-1,19.32
"Lake, CA",6033,6.3,17
"Lassen, CA",6035,0.7,17.11
"Los Angeles, CA",6037,0.1,16.14
"Madera, CA",6039,-0.3,19.45
"Marin, CA",6041,1.4,6.93
