FIPS,State,Area_name,Unemployment_rate_2007,Unemployment_rate_2008,Unemployment_rate_2009,Unemployment_rate_2010,Unemployment_rate_2011,Unemployment_rate_2012,Unemployment_rate_2013,Unemployment_rate_2014,Unemployment_rate_2015,Unemployment_rate_2016,Unemployment_2007-2016,Unemployment Change 2007-2016,Median_Household_Income_2016,Med_HH_Income_Percent_of_State_Total_2016
01000,AL,Alabama,4.0,5.7,11.0,10.5,9.6,8.0,7.2,6.8,6.1,6.0,7.5,2.0,"46,309",100.0
01001,AL,"Autauga County, AL",3.3,5.1,9.7,8.9,8.4,6.9,6.2,5.9,5.3,5.3,6.5,2.0,"54,487",117.7
01003,AL,"Baldwin County, AL",3.1,4.6,9.8,10.0,9.0,7.5,6.6,6.1,5.6,5.4,6.8,2.3,"56,460",121.9
01005,AL,"Barbour County, AL",6.3,8.8,14.3,12.3,11.5,11.5,10.2,10.6,8.8,8.6,10.3,2.3,"32,884",71.0
01007,AL,"Bibb County, AL",4.1,5.8,13.3,11.4,10.5,8.5,7.9,7.2,6.7,6.6,8.2,2.5,"43,079",93.0
01009,AL,"Blount County, AL",3.2,4.7,10.0,9.8,8.7,6.9,6.3,6.1,5.4,5.5,6.7,2.3,"47,213",102.0
01011,AL,"Bullock County, AL",9.4,10.5,15.6,11.8,11.6,10.4,9.4,8.8,7.9,7.2,10.3,-2.2,"34,278",74.0
01013,AL,"Butler County, AL",6.2,8.5,16.4,13.6,12.5,11.5,10.3,8.6,7.6,7.1,10.2,0.9,"35,409",76.5
01015,AL,"Calhoun County, AL",3.9,5.7,11.1,11.4,10.3,8.9,8.8,8.0,7.0,6.7,8.2,2.8,"41,778",90.2
01017,AL,"Chambers County, AL",6.5,14.4,19.6,14.9,12.0,9.9,8.0,6.7,6.0,5.5,10.4,-1.0,"39,530",85.4
01019,AL,"Cherokee County, AL",4.2,5.7,11.7,10.6,9.7,8.0,6.6,5.8,5.4,5.2,7.3,1.0,"41,456",89.5
01021,AL,"Chilton County, AL",3.4,5.1,10.6,10.3,9.1,7.2,6.6,6.3,5.7,5.6,7.0,2.2,"44,188",95.4
01023,AL,"Choctaw County, AL",5.9,8.3,13.5,13.3,13.1,10.3,9.2,9.0,9.1,8.9,10.1,3.0,"32,691",70.6
01025,AL,"Clarke County, AL",6.1,9.0,16.5,19.9,18.8,15.0,13.8,12.2,11.7,11.1,13.4,5.0,"34,061",73.6
01027,AL,"Clay County, AL",5.5,7.9,16.7,14.5,11.8,9.4,8.4,7.2,6.1,6.2,9.4,0.7,"38,512",83.2
01029,AL,"Cleburne County, AL",3.7,5.1,10.2,10.0,9.7,8.2,7.7,6.6,6.0,6.1,7.3,2.4,"43,483",93.9
01031,AL,"Coffee County, AL",3.8,4.8,8.5,8.6,8.1,7.0,6.9,6.7,5.9,6.1,6.6,2.3,"48,632",105.0
01033,AL,"Colbert County, AL",4.6,6.5,11.6,11.5,10.2,8.8,8.2,8.3,7.9,7.0,8.5,2.4,"46,572",100.6
01035,AL,"Conecuh County, AL",6.4,9.4,19.9,17.2,15.2,11.9,10.7,10.4,9.2,8.6,11.9,2.2,"29,758",64.3
01037,AL,"Coosa County, AL",5.8,8.3,16.0,15.4,12.5,9.4,9.2,8.8,6.7,6.1,9.8,0.3,"36,441",78.7
01039,AL,"Covington County, AL",3.9,5.9,10.8,10.3,9.8,8.4,8.1,7.8,7.1,7.0,7.9,3.1,"35,010",75.6
01041,AL,"Crenshaw County, AL",4.3,5.6,10.4,10.2,9.9,8.3,7.7,6.9,6.0,6.0,7.5,1.7,"37,374",80.7
01043,AL,"Cullman County, AL",3.4,4.9,10.3,10.4,9.5,7.7,6.7,6.1,5.2,5.1,6.9,1.7,"41,543",89.7
01045,AL,"Dale County, AL",4.0,5.4,9.6,8.8,8.3,7.4,7.4,7.1,6.3,5.9,7.0,1.9,"40,523",87.5
01047,AL,"Dallas County, AL",8.3,11.1,21.1,16.9,15.1,12.9,12.2,11.3,9.6,9.4,12.8,1.1,"30,488",65.8
01049,AL,"DeKalb County, AL",4.3,5.8,14.3,12.7,11.8,9.0,7.6,6.9,6.0,6.2,8.5,1.9,"37,128",80.2
01051,AL,"Elmore County, AL",3.3,5.1,9.5,9.1,8.4,6.9,6.2,5.7,5.1,4.9,6.4,1.6,"54,553",117.8
01053,AL,"Escambia County, AL",5.3,7.6,13.5,11.8,10.8,9.2,8.6,8.0,7.0,6.7,8.9,1.4,"35,096",75.8
01055,AL,"Etowah County, AL",4.5,6.0,11.5,10.9,10.0,8.2,7.6,7.1,6.1,6.0,7.8,1.5,"40,972",88.5
01057,AL,"Fayette County, AL",4.7,7.2,14.0,13.0,11.1,8.6,8.3,7.9,7.0,7.0,8.9,2.3,"38,403",82.9
01059,AL,"Franklin County, AL",4.6,7.4,13.4,10.7,9.6,8.4,8.1,7.7,6.4,6.1,8.2,1.5,"37,049",80.0
01061,AL,"Geneva County, AL",3.5,5.5,10.8,10.4,9.2,7.6,7.0,6.7,5.9,5.9,7.3,2.4,"36,976",79.8
01063,AL,"Greene County, AL",6.4,8.5,15.3,17.3,17.3,13.6,12.8,12.5,11.1,10.1,12.5,3.7,"26,559",57.4
01065,AL,"Hale County, AL",5.4,7.4,14.3,15.1,13.8,11.5,11.6,9.9,7.8,7.8,10.5,2.4,"35,381",76.4
01067,AL,"Henry County, AL",5.4,7.7,11.2,10.9,9.7,8.3,7.7,7.5,6.8,6.6,8.2,1.2,"41,426",89.5
01069,AL,"Houston County, AL",3.3,4.9,9.3,9.1,8.6,7.5,6.9,6.8,6.2,5.9,6.9,2.6,"42,910",92.7
01071,AL,"Jackson County, AL",4.5,6.2,12.8,11.8,10.3,8.6,7.9,7.3,6.6,6.4,8.2,1.9,"41,407",89.4
01073,AL,"Jefferson County, AL",3.9,5.4,10.8,10.3,9.3,7.4,6.7,6.3,5.8,5.9,7.2,2.0,"50,109",108.2
01075,AL,"Lamar County, AL",6.3,8.0,16.0,13.2,9.7,7.5,7.0,7.0,6.3,5.7,8.7,-0.6,"38,358",82.8
01077,AL,"Lauderdale County, AL",4.3,5.7,10.7,10.1,9.1,7.7,7.1,7.2,6.9,6.4,7.5,2.1,"44,124",95.3
01079,AL,"Lawrence County, AL",4.1,6.5,13.6,12.6,10.9,9.0,8.3,8.2,7.7,7.0,8.8,2.9,"43,107",93.1
01081,AL,"Lee County, AL",3.6,5.2,9.4,9.0,8.1,6.8,5.9,5.6,5.2,5.3,6.4,1.7,"47,749",103.1
01083,AL,"Limestone County, AL",3.3,4.7,9.8,9.6,8.6,6.9,6.3,6.1,5.5,5.3,6.6,2.0,"52,181",112.7
01085,AL,"Lowndes County, AL",7.5,10.9,19.3,18.5,17.7,15.4,14.1,12.8,11.7,10.8,13.9,3.3,"32,011",69.1
01087,AL,"Macon County, AL",5.4,7.4,12.2,14.8,14.0,10.7,9.7,9.1,8.0,7.7,9.9,2.3,"30,681",66.3
01089,AL,"Madison County, AL",3.1,4.2,8.0,8.3,8.3,6.9,6.3,6.2,5.5,5.2,6.2,2.1,"61,193",132.1
01091,AL,"Marengo County, AL",5.3,7.4,14.2,13.7,12.6,10.2,8.9,8.0,7.6,7.4,9.5,2.1,"34,794",75.1
