FIPS,County,State,Dem 2008-2016 (%),Rep 2008-2016 (%),Party 2008-2016
1001,Autauga County,AL,25.5,73.2,Red
1003,Baldwin County,AL,21.7,76.7,Red
1005,Barbour County,AL,49,50.3,Split
1007,Bibb County,AL,24.7,74.2,Red
1009,Blount County,AL,11.8,86.8,Red
1011,Bullock County,AL,75.2,24.5,Blue
1013,Butler County,AL,44,55.5,Red
1015,Calhoun County,AL,31.5,66.8,Red
1017,Chambers County,AL,44.8,54.2,Red
1019,Cherokee County,AL,20,78.5,Red
1021,Chilton County,AL,18.7,80.3,Red
1023,Choctaw County,AL,45.5,54,Red
1025,Clarke County,AL,44.6,54.9,Red
1027,Clay County,AL,23.8,75,Red
1029,Cleburne County,AL,14.6,83.9,Red
1031,Coffee County,AL,23.5,75.1,Red
1033,Colbert County,AL,36,62.3,Red
1035,Conecuh County,AL,49,50.4,Split
1037,Coosa County,AL,38.9,60.3,Red
1039,Covington County,AL,18.7,80.4,Red
1041,Crenshaw County,AL,29.8,69.5,Red
1043,Cullman County,AL,13.7,84.6,Red
1045,Dale County,AL,26.5,72.2,Red
1047,Dallas County,AL,68.4,31.2,Blue
1049,DeKalb County,AL,19.9,78.4,Red
1051,Elmore County,AL,24.1,74.6,Red
1053,Escambia County,AL,34.4,64.7,Red
1055,Etowah County,AL,28,70.3,Red
1057,Fayette County,AL,21.5,77.3,Red
1059,Franklin County,AL,25.8,72.6,Red
1061,Geneva County,AL,16.5,82.4,Red
1063,Greene County,AL,83.4,16.2,Blue
1065,Hale County,AL,61,38.6,Blue
1067,Henry County,AL,32.8,66.4,Red
1069,Houston County,AL,28,70.9,Red
1071,Jackson County,AL,25.5,72.6,Red
1073,Jefferson County,AL,52.3,46.2,Blue
1075,Lamar County,AL,20.2,78.9,Red
1077,Lauderdale County,AL,31.4,66.5,Red
1079,Lawrence County,AL,31.9,66.5,Red
1081,Lee County,AL,38.4,59.3,Red
1083,Limestone County,AL,26.6,71.6,Red
1085,Lowndes County,AL,74.8,24.8,Blue
1087,Macon County,AL,85.6,13.8,Blue
1089,Madison County,AL,40.4,57.1,Red
1091,Marengo County,AL,52.1,47.3,Blue
1093,Marion County,AL,16.9,81.5,Red
1095,Marshall County,AL,18.2,80.2,Red
1097,Mobile County,AL,44.1,54.7,Red
1099,Monroe County,AL,44.3,55.1,Red
1101,Montgomery County,AL,61.1,37.9,Blue
1103,Morgan County,AL,25.7,72.6,Red
1105,Perry County,AL,73.3,26.3,Blue
1107,Pickens County,AL,44.6,54.9,Red
1109,Pike County,AL,41.2,57.6,Red
1111,Randolph County,AL,27.2,71.5,Red
1113,Russell County,AL,53,46,Blue
1115,Saint Clair County,AL,16.3,82.3,Red
1117,Shelby County,AL,22.5,75.6,Red
1119,Sumter County,AL,75.5,24,Blue
1121,Talladega County,AL,39.5,59.5,Red
1123,Tallapoosa County,AL,31.1,68,Red
1125,Tuscaloosa County,AL,40.4,58,Red
1127,Walker County,AL,21.4,77,Red
1129,Washington County,AL,32.3,67,Red
1131,Wilcox County,AL,72.1,27.6,Blue
1133,Winston County,AL,13.1,85.5,Red
4001,Apache County,AZ,65,32,Blue
4003,Cochise County,AZ,37.1,59.5,Red
4005,Coconino County,AZ,56.8,39.7,Blue
4007,Gila County,AZ,34.3,63.1,Red
4009,Graham County,AZ,29,68.4,Red
4011,Greenlee County,AZ,39.3,56.9,Red
4012,La Paz County,AZ,31.4,65.6,Red
4013,Maricopa County,AZ,44.3,53,Red
4015,Mohave County,AZ,27.6,69.9,Red
4017,Navajo County,AZ,44,53.3,Red
4019,Pima County,AZ,52.9,44.5,Blue
4021,Pinal County,AZ,40.3,57.3,Red
4023,Santa Cruz County,AZ,68.4,29.7,Blue
4025,Yavapai County,AZ,34.2,63.1,Red
4027,Yuma County,AZ,43,54.8,Red
5001,Arkansas County,AR,35.6,60.7,Red
5003,Ashley County,AR,33.5,63.5,Red
5005,Baxter County,AR,26.9,70,Red
5007,Benton County,AR,29.6,66.9,Red
5009,Boone County,AR,23.9,72.5,Red
5011,Bradley County,AR,39.3,58,Red
5013,Calhoun County,AR,30,67.4,Red
5015,Carroll County,AR,35.7,60.4,Red
5017,Chicot County,AR,58.6,40.1,Blue
5019,Clark County,AR,45.1,51.7,Split
5021,Clay County,AR,36,60.4,Red
