FIPS,County,State,Dem 2008 (%),Rep 2008 (%),Other 2008 (%),Party 2008,Dem 2012 (%),Rep 2012 (%),Other 2012 (%),Party 2012,Dem 2016 (%),Rep 2016 (%),Other 2016 (%),Party 2016,Dem 2008-2016 (%),Rep 2008-2016 (%),Party 2008-2016
1001,Autauga County,AL,25.8,73.6,0.6,Red,26.6,72.6,0.8,Red,24,73.4,2.6,Red,25.5,73.2,Red
1003,Baldwin County,AL,23.8,75.3,0.9,Red,21.6,77.4,1,Red,19.6,77.4,3.1,Red,21.7,76.7,Red
1005,Barbour County,AL,49,50.4,0.6,Split,51.3,48.3,0.4,Split,46.7,52.3,1.1,Red,49.0,50.3,Split
1007,Bibb County,AL,26.6,72.4,1,Red,26.2,73.1,0.7,Red,21.4,77,1.6,Red,24.7,74.2,Red
1009,Blount County,AL,14.5,84,1.5,Red,12.3,86.5,1.2,Red,8.5,89.9,1.7,Red,11.8,86.8,Red
1011,Bullock County,AL,74.1,25.7,0.2,Blue,76.3,23.5,0.2,Blue,75.1,24.2,0.7,Blue,75.2,24.5,Blue
1013,Butler County,AL,43.1,56.5,0.4,Red,46.1,53.6,0.4,Red,42.8,56.3,0.9,Red,44.0,55.5,Red
1015,Calhoun County,AL,33.2,65.7,1.1,Red,33.5,65.5,1,Red,27.9,69.2,2.9,Red,31.5,66.8,Red
1017,Chambers County,AL,45.5,53.9,0.6,Red,47.1,52.2,0.8,Red,41.8,56.6,1.5,Red,44.8,54.2,Red
1019,Cherokee County,AL,23.7,74.9,1.4,Red,21.8,76.8,1.4,Red,14.5,83.9,1.6,Red,20.0,78.5,Red
1021,Chilton County,AL,20.7,78.5,0.8,Red,19.5,79.8,0.8,Red,15.9,82.5,1.5,Red,18.7,80.3,Red
1023,Choctaw County,AL,46.1,53.5,0.4,Red,47.5,52.1,0.4,Red,42.8,56.4,0.8,Red,45.5,54.0,Red
1025,Clarke County,AL,44,55.6,0.4,Red,45.7,54,0.3,Red,44.2,55,0.9,Red,44.6,54.9,Red
1027,Clay County,AL,25.8,73.1,1.1,Red,26.7,72.3,1,Red,18.8,79.6,1.6,Red,23.8,75.0,Red
1029,Cleburne County,AL,18,80.3,1.7,Red,15.4,83.6,1,Red,10.5,87.8,1.7,Red,14.6,83.9,Red
1031,Coffee County,AL,25.2,74.1,0.6,Red,24.8,74.2,0.9,Red,20.4,77.1,2.4,Red,23.5,75.1,Red
1033,Colbert County,AL,39.1,59.3,1.6,Red,39.2,59.6,1.2,Red,29.6,67.9,2.5,Red,36.0,62.3,Red
1035,Conecuh County,AL,49.4,50,0.6,Split,50.6,49,0.4,Split,46.9,52.2,0.9,Red,49.0,50.4,Split
1037,Coosa County,AL,40.9,58.4,0.8,Red,41.7,57.8,0.5,Red,34.1,64.6,1.3,Red,38.9,60.3,Red
1039,Covington County,AL,20.5,78.8,0.7,Red,20.5,78.8,0.7,Red,15,83.6,1.4,Red,18.7,80.4,Red
1041,Crenshaw County,AL,30.8,68.7,0.5,Red,31.9,67.5,0.6,Red,26.6,72.2,1.2,Red,29.8,69.5,Red
1043,Cullman County,AL,16.6,81.8,1.5,Red,14.6,84.2,1.2,Red,10,87.8,2.2,Red,13.7,84.6,Red
1045,Dale County,AL,27.3,71.9,0.8,Red,28.5,70.6,0.9,Red,23.7,74.1,2.2,Red,26.5,72.2,Red
1047,Dallas County,AL,67.1,32.6,0.3,Blue,69.7,30,0.3,Blue,68.5,30.9,0.6,Blue,68.4,31.2,Blue
1049,DeKalb County,AL,23.6,74.8,1.7,Red,22,76.8,1.2,Red,14.1,83.5,2.4,Red,19.9,78.4,Red
1051,Elmore County,AL,24.2,75.1,0.7,Red,25.2,74,0.8,Red,22.9,74.8,2.3,Red,24.1,74.6,Red
1053,Escambia County,AL,35.4,63.9,0.8,Red,36.9,62.5,0.6,Red,30.9,67.6,1.5,Red,34.4,64.7,Red
1055,Etowah County,AL,30.2,68.4,1.4,Red,30.1,68.5,1.4,Red,23.8,73.9,2.3,Red,28.0,70.3,Red
1057,Fayette County,AL,25.1,73.9,1,Red,22.8,76.3,0.9,Red,16.6,81.8,1.6,Red,21.5,77.3,Red
1059,Franklin County,AL,29.7,68.8,1.5,Red,29.2,69.7,1.1,Red,18.4,79.2,2.4,Red,25.8,72.6,Red
1061,Geneva County,AL,18.3,80.8,0.9,Red,18,81,0.9,Red,13.1,85.5,1.5,Red,16.5,82.4,Red
1063,Greene County,AL,83.1,16.5,0.4,Blue,84.7,15,0.3,Blue,82.4,17.2,0.4,Blue,83.4,16.2,Blue
1065,Hale County,AL,60.7,39,0.4,Blue,62.6,37.1,0.3,Blue,59.6,39.6,0.8,Blue,61.0,38.6,Blue
1067,Henry County,AL,34.9,64.6,0.5,Red,35,64.4,0.6,Red,28.5,70.1,1.3,Red,32.8,66.4,Red
1069,Houston County,AL,29.3,70.1,0.6,Red,29.5,69.8,0.7,Red,25.1,72.7,2.2,Red,28.0,70.9,Red
1071,Jackson County,AL,30.5,67.5,2,Red,28.3,70.2,1.5,Red,17.6,80.1,2.3,Red,25.5,72.6,Red
1073,Jefferson County,AL,52.2,47.1,0.8,Blue,52.6,46.6,0.8,Blue,52.2,45,2.7,Blue,52.3,46.2,Blue
1075,Lamar County,AL,22.8,76.6,0.6,Red,23,76.2,0.9,Red,14.9,84,1.1,Red,20.2,78.9,Red
1077,Lauderdale County,AL,35,63.2,1.9,Red,33.9,64.8,1.4,Red,25.4,71.5,3.1,Red,31.4,66.5,Red
1079,Lawrence County,AL,35.2,63.2,1.6,Red,35.9,62.9,1.2,Red,24.7,73.4,1.9,Red,31.9,66.5,Red
1081,Lee County,AL,39.6,59.3,1.1,Red,39.3,59.2,1.4,Red,36.4,59.5,4.1,Red,38.4,59.3,Red
1083,Limestone County,AL,28.4,70.3,1.2,Red,27.7,71.4,0.9,Red,23.7,73.2,3.1,Red,26.6,71.6,Red
1085,Lowndes County,AL,74.9,24.9,0.3,Blue,76.4,23.3,0.2,Blue,73.1,26.2,0.6,Blue,74.8,24.8,Blue
1087,Macon County,AL,86.9,12.8,0.3,Blue,87.1,12.7,0.2,Blue,82.7,15.9,1.3,Blue,85.6,13.8,Blue
1089,Madison County,AL,41.9,56.9,1.2,Red,40,58.6,1.4,Red,39.2,55.9,4.9,Red,40.4,57.1,Red
1091,Marengo County,AL,51.7,48.1,0.3,Split,53.5,46.2,0.3,Blue,51.2,47.7,1.1,Split,52.1,47.3,Blue
1093,Marion County,AL,21,77.2,1.8,Red,18.6,80.1,1.3,Red,11.1,87.3,1.6,Red,16.9,81.5,Red
1095,Marshall County,AL,21.2,77.6,1.2,Red,19.3,79.4,1.2,Red,14.1,83.6,2.4,Red,18.2,80.2,Red
1097,Mobile County,AL,45.3,54,0.7,Red,45,54.3,0.7,Red,41.9,55.7,2.4,Red,44.1,54.7,Red
1099,Monroe County,AL,44.7,54.9,0.5,Red,45.9,53.7,0.5,Red,42.3,56.7,1,Red,44.3,55.1,Red
1101,Montgomery County,AL,59.4,40.1,0.5,Blue,61.9,37.6,0.5,Blue,62,35.9,2.1,Blue,61.1,37.9,Blue
1103,Morgan County,AL,27.5,71.3,1.3,Red,27.2,71.8,1,Red,22.4,74.8,2.8,Red,25.7,72.6,Red
1105,Perry County,AL,72.4,27.3,0.4,Blue,74.8,24.8,0.4,Blue,72.7,26.7,0.6,Blue,73.3,26.3,Blue
1107,Pickens County,AL,45.6,54,0.4,Red,46.3,53.3,0.3,Red,41.8,57.4,0.7,Red,44.6,54.9,Red
1109,Pike County,AL,42.1,57.4,0.5,Red,42.7,56.5,0.8,Red,38.7,59,2.3,Red,41.2,57.6,Red
1111,Randolph County,AL,29.5,69.1,1.4,Red,29.6,69.5,0.9,Red,22.6,76,1.4,Red,27.2,71.5,Red
1113,Russell County,AL,53.3,46,0.7,Blue,55.6,43.9,0.5,Blue,50,48.1,1.8,Split,53.0,46.0,Blue
1115,Saint Clair County,AL,17.9,81.1,1,Red,16.5,82.6,0.9,Red,14.6,83.2,2.1,Red,16.3,82.3,Red
1117,Shelby County,AL,22.8,76.2,1.1,Red,21.6,77.3,1.1,Red,23.1,73.4,3.5,Red,22.5,75.6,Red
1119,Sumter County,AL,75,24.7,0.4,Blue,77.2,22.6,0.3,Blue,74.2,24.7,1.1,Blue,75.5,24.0,Blue
1121,Talladega County,AL,40.3,58.8,0.9,Red,41.7,57.7,0.7,Red,36.5,62,1.5,Red,39.5,59.5,Red
1123,Tallapoosa County,AL,31.4,67.9,0.7,Red,33.5,65.9,0.6,Red,28.5,70.1,1.4,Red,31.1,68.0,Red
1125,Tuscaloosa County,AL,41.6,57.5,0.9,Red,40.8,58.2,1,Red,38.9,58.4,2.8,Red,40.4,58.0,Red
1127,Walker County,AL,25.9,72.3,1.8,Red,23,75.9,1.1,Red,15.3,82.8,1.9,Red,21.4,77.0,Red
1129,Washington County,AL,35,64.4,0.6,Red,33.9,65.6,0.5,Red,27.9,71,1.1,Red,32.3,67.0,Red
1131,Wilcox County,AL,71,28.8,0.2,Blue,74.3,25.6,0.1,Blue,71,28.5,0.5,Blue,72.1,27.6,Blue
1133,Winston County,AL,17.5,80.8,1.7,Red,13.2,85.6,1.2,Red,8.5,90,1.6,Red,13.1,85.5,Red
4001,Apache County,AZ,63.4,35.2,1.3,Blue,66.1,32.2,1.7,Blue,65.4,28.5,6.2,Blue,65.0,32.0,Blue
4003,Cochise County,AZ,38.8,59.5,1.7,Red,37.1,61.1,1.9,Red,35.4,58,6.5,Red,37.1,59.5,Red
4005,Coconino County,AZ,57.8,40.8,1.3,Blue,56.3,41.4,2.3,Blue,56.3,36.9,6.8,Blue,56.8,39.7,Blue
4007,Gila County,AZ,35.3,63.1,1.6,Red,36,62.4,1.6,Red,31.5,63.9,4.6,Red,34.3,63.1,Red
4009,Graham County,AZ,29,69.8,1.2,Red,30.4,68.1,1.4,Red,27.6,67.2,5.1,Red,29.0,68.4,Red
4011,Greenlee County,AZ,40,58.8,1.2,Red,44.1,53.5,2.4,Red,33.7,58.3,8,Red,39.3,56.9,Red
4012,La Paz County,AZ,34.7,63.2,2.1,Red,32.9,65.1,2,Red,26.7,68.6,4.7,Red,31.4,65.6,Red
4013,Maricopa County,AZ,44.1,54.7,1.2,Red,43.1,55.2,1.7,Red,45.7,49.1,5.2,Split,44.3,53.0,Red
4015,Mohave County,AZ,32.7,65.6,1.7,Red,27.8,70.4,1.8,Red,22.2,73.7,4.1,Red,27.6,69.9,Red
4017,Navajo County,AZ,43.5,55.2,1.3,Red,45.2,53.5,1.3,Red,43.4,51.3,5.3,Split,44.0,53.3,Red
4019,Pima County,AZ,52.4,46.4,1.2,Blue,52.1,46.3,1.5,Blue,54.2,40.8,5,Blue,52.9,44.5,Blue
4021,Pinal County,AZ,42.2,56.7,1.2,Red,40.6,57.7,1.7,Red,38.1,57.4,4.5,Red,40.3,57.3,Red
4023,Santa Cruz County,AZ,65.3,34,0.8,Blue,68.3,30.5,1.2,Blue,71.6,24.5,4,Blue,68.4,29.7,Blue
4025,Yavapai County,AZ,37,61.4,1.6,Red,33.7,64.5,1.8,Red,32,63.4,4.5,Red,34.2,63.1,Red
4027,Yuma County,AZ,42.6,56.3,1.1,Red,41.3,57.5,1.2,Red,45,50.5,4.5,Split,43.0,54.8,Red
5001,Arkansas County,AR,37.5,60,2.5,Red,37.8,60,2.2,Red,31.4,62,6.5,Red,35.6,60.7,Red
5003,Ashley County,AR,34.4,62.6,3,Red,36.1,61.5,2.5,Red,30,66.5,3.5,Red,33.5,63.5,Red
5005,Baxter County,AR,32.7,64.3,3,Red,26.7,70.8,2.5,Red,21.3,74.9,3.9,Red,26.9,70.0,Red
5007,Benton County,AR,30.7,67.2,2.1,Red,28.6,69,2.5,Red,29.6,64.4,6,Red,29.6,66.9,Red
5009,Boone County,AR,28.7,68.3,3,Red,24.5,72.5,3,Red,18.4,76.8,4.8,Red,23.9,72.5,Red
5011,Bradley County,AR,41.6,56,2.4,Red,39.8,58.3,1.9,Red,36.4,59.8,3.8,Red,39.3,58.0,Red
5013,Calhoun County,AR,31.2,65.9,2.9,Red,30.4,67.1,2.6,Red,28.3,69.1,2.7,Red,30.0,67.4,Red
5015,Carroll County,AR,39.4,57.5,3.1,Red,36.3,60.2,3.5,Red,31.3,63.6,5.2,Red,35.7,60.4,Red
5017,Chicot County,AR,58.4,40.7,0.9,Blue,60.7,38.3,1,Blue,56.6,41.4,2,Blue,58.6,40.1,Blue
5019,Clark County,AR,46.9,50.7,2.4,Split,45.3,51.7,3,Split,43.1,52.6,4.3,Red,45.1,51.7,Split
5021,Clay County,AR,40.7,55,4.3,Red,34,63.1,2.9,Red,33.4,63.2,3.3,Red,36.0,60.4,Red
5023,Cleburne County,AR,26,70.2,3.7,Red,22.5,74.6,2.9,Red,17.6,79,3.5,Red,22.0,74.6,Red
5025,Cleveland County,AR,26,69.9,4.1,Red,25.9,70.8,3.3,Red,21.9,74.6,3.5,Red,24.6,71.8,Red
5027,Columbia County,AR,37.2,61.3,1.5,Red,37.6,61.2,1.1,Red,35.5,61.7,2.7,Red,36.8,61.4,Red
5029,Conway County,AR,38.7,57.6,3.7,Red,38.9,58.4,2.7,Red,33.9,61.8,4.3,Red,37.2,59.3,Red
5031,Craighead County,AR,36.5,61,2.6,Red,33.2,64.2,2.6,Red,30,65.2,4.9,Red,33.2,63.5,Red
5033,Crawford County,AR,25.5,71.5,3,Red,23.7,73.6,2.7,Red,20.2,75.2,4.6,Red,23.1,73.4,Red
5035,Crittenden County,AR,56.6,41.9,1.5,Blue,58.6,39.9,1.5,Blue,53,44,3,Blue,56.1,41.9,Blue
5037,Cross County,AR,36.2,61.6,2.2,Red,34.1,63.9,2,Red,29.2,67,3.8,Red,33.2,64.2,Red
5039,Dallas County,AR,44.3,53,2.7,Red,43.4,54,2.7,Red,42.5,55,2.5,Red,43.4,54.0,Red
5041,Desha County,AR,54.9,42.7,2.4,Blue,55.5,42.6,1.9,Blue,52.7,45.3,2,Blue,54.4,43.5,Blue
5043,Drew County,AR,39.3,58.4,2.3,Red,39.6,58.6,1.8,Red,36.1,60.5,3.4,Red,38.3,59.2,Red
5045,Faulkner County,AR,36.3,61.6,2.1,Red,32.8,64.5,2.7,Red,31.3,62.9,5.8,Red,33.5,63.0,Red
5047,Franklin County,AR,28.9,68.1,3,Red,26.4,70.8,2.8,Red,20.5,75.2,4.3,Red,25.3,71.4,Red
5049,Fulton County,AR,38.9,57.8,3.3,Red,32.1,65.2,2.7,Red,22.5,73.1,4.4,Red,31.2,65.4,Red
5051,Garland County,AR,36.4,61.4,2.3,Red,33.9,63.8,2.3,Red,30.5,64.6,5,Red,33.6,63.3,Red
5053,Grant County,AR,23,73.9,3.1,Red,22.6,74.5,2.8,Red,20.5,75.3,4.2,Red,22.0,74.6,Red
5055,Greene County,AR,33.4,63,3.6,Red,29.1,65.9,5,Red,21.2,74.2,4.6,Red,27.9,67.7,Red
5057,Hempstead County,AR,39,58.1,2.8,Red,35.6,61.9,2.4,Red,33.9,62.9,3.2,Red,36.2,61.0,Red
5059,Hot Spring County,AR,35.9,60.3,3.8,Red,34,63.1,2.9,Red,26.6,69,4.4,Red,32.2,64.1,Red
5061,Howard County,AR,36,61,3,Red,33,64.8,2.2,Red,29.1,68.1,2.8,Red,32.7,64.6,Red
5063,Independence County,AR,30,67.1,2.9,Red,26.5,70.4,3.1,Red,21.4,73.8,4.8,Red,26.0,70.4,Red
5065,Izard County,AR,34.3,61.2,4.5,Red,29.4,67.2,3.4,Red,20.6,74.9,4.5,Red,28.1,67.8,Red
5067,Jackson County,AR,39.5,55.9,4.6,Red,39.2,57.4,3.4,Red,31.1,64,4.9,Red,36.6,59.1,Red
5069,Jefferson County,AR,62.2,35.9,1.9,Blue,63.8,34.8,1.4,Blue,61.2,35.9,2.8,Blue,62.4,35.5,Blue
5071,Johnson County,AR,37.1,60.2,2.7,Red,34.5,62.6,2.9,Red,26.9,67.5,5.6,Red,32.8,63.4,Red
5073,Lafayette County,AR,39,58.1,2.9,Red,40.1,58.5,1.5,Red,36.3,61.7,2,Red,38.5,59.4,Red
5075,Lawrence County,AR,36.7,57.6,5.7,Red,32.3,63.8,3.9,Red,22.4,72.2,5.4,Red,30.5,64.5,Red
5077,Lee County,AR,60.1,38.6,1.2,Blue,61.5,37.4,1.1,Blue,57.8,40.9,1.3,Blue,59.8,39.0,Blue
5079,Lincoln County,AR,38.8,57,4.2,Red,38.2,59,2.7,Red,32.8,64.4,2.8,Red,36.6,60.1,Red
5081,Little River County,AR,34,63,3,Red,30.7,67,2.3,Red,26.9,69.4,3.7,Red,30.5,66.5,Red
5083,Logan County,AR,28.9,67.7,3.4,Red,27.4,69.3,3.3,Red,21.8,73.2,5,Red,26.0,70.1,Red
5085,Lonoke County,AR,25.1,72.6,2.2,Red,23.3,74.2,2.5,Red,21.1,74.4,4.6,Red,23.2,73.7,Red
5087,Madison County,AR,33.9,62.8,3.4,Red,32,64.9,3.1,Red,23.4,72.5,4.1,Red,29.8,66.7,Red
5089,Marion County,AR,33.3,63.2,3.5,Red,28.8,67.9,3.3,Red,20.5,75.6,3.9,Red,27.5,68.9,Red
5091,Miller County,AR,32.3,65.8,1.9,Red,29.5,69.3,1.2,Red,26.7,70.5,2.8,Red,29.5,68.5,Red
5093,Mississippi County,AR,47.6,49.8,2.6,Split,48.3,49.4,2.3,Split,43.3,53.8,3,Red,46.4,51.0,Split
5095,Monroe County,AR,46.8,50.9,2.3,Split,49,49.1,1.9,Split,46.9,50.6,2.5,Split,47.6,50.2,Split
5097,Montgomery County,AR,30.1,65.3,4.6,Red,27,69.6,3.4,Red,21.3,74.7,4,Red,26.1,69.9,Red
5099,Nevada County,AR,40.6,56.7,2.7,Red,38.8,59,2.2,Red,35.8,61.9,2.4,Red,38.4,59.2,Red
5101,Newton County,AR,29.8,65.4,4.8,Red,27.1,68.5,4.4,Red,18.7,77.1,4.2,Red,25.2,70.3,Red
5103,Ouachita County,AR,43.6,54.5,1.9,Red,44.9,53.5,1.6,Red,43.7,54.1,2.2,Red,44.1,54.0,Red
5105,Perry County,AR,31.6,64.1,4.3,Red,30.1,65.5,4.3,Red,24.6,70.7,4.7,Red,28.8,66.8,Red
5107,Phillips County,AR,63.5,34.5,2,Blue,65.6,32.8,1.6,Blue,62.3,35.4,2.3,Blue,63.8,34.2,Blue
5109,Pike County,AR,27.5,68.8,3.8,Red,22.4,75.2,2.4,Red,17.3,79.6,3.1,Red,22.4,74.5,Red
5111,Poinsett County,AR,34.6,61.8,3.6,Red,31.6,65.8,2.6,Red,35.5,59.6,4.8,Red,33.9,62.4,Red
5113,Polk County,AR,25.5,71.3,3.3,Red,20.2,77.1,2.8,Red,14.9,81.3,3.8,Red,20.2,76.6,Red
5115,Pope County,AR,27.2,70.5,2.3,Red,25.1,72.3,2.7,Red,22.4,72.8,4.8,Red,24.9,71.9,Red
5117,Prairie County,AR,31,65.7,3.3,Red,28,68.6,3.4,Red,23.9,73.5,2.6,Red,27.6,69.3,Red
5119,Pulaski County,AR,55.1,43.5,1.4,Blue,54.7,43.3,2,Blue,56.7,38.8,4.5,Blue,55.5,41.9,Blue
5121,Randolph County,AR,39.1,57.2,3.7,Red,34.3,62.2,3.5,Red,22.6,71.4,6,Red,32.0,63.6,Red
5123,Saint Francis County,AR,57.7,41.2,1.1,Blue,58,41,1,Blue,54.4,43.1,2.5,Blue,56.7,41.8,Blue
5125,Saline County,AR,28.4,69.4,2.2,Red,27.3,70,2.6,Red,25.5,69,5.5,Red,27.1,69.5,Red
5127,Scott County,AR,26.4,69.9,3.8,Red,24.6,72.3,3.1,Red,16.8,78.8,4.4,Red,22.6,73.7,Red
5129,Searcy County,AR,25,70.9,4.2,Red,22,73.1,4.9,Red,16.3,79.9,3.8,Red,21.1,74.6,Red
5131,Sebastian County,AR,31.6,66.3,2.1,Red,30.2,67.3,2.5,Red,28,66,6,Red,29.9,66.5,Red
5133,Sevier County,AR,28.2,68.2,3.6,Red,24.1,72.4,3.5,Red,23.8,72.6,3.6,Red,25.4,71.1,Red
5135,Sharp County,AR,33.6,62.5,3.9,Red,28.7,67.6,3.7,Red,20.5,75.2,4.4,Red,27.6,68.4,Red
5137,Stone County,AR,30,66.4,3.6,Red,25.3,70.5,4.1,Red,21.5,73.8,4.6,Red,25.6,70.2,Red
5139,Union County,AR,36,62.2,1.8,Red,36,62.3,1.6,Red,34.7,62.4,2.9,Red,35.6,62.3,Red
5141,Van Buren County,AR,32.1,63.8,4.1,Red,28.4,67.9,3.6,Red,21.8,75.7,2.6,Red,27.4,69.1,Red
5143,Washington County,AR,42.4,55.5,2,Red,40.1,56.3,3.6,Red,41.3,51.7,7,Split,41.3,54.5,Red
5145,White County,AR,25,72.2,2.8,Red,21.7,75.5,2.8,Red,18.8,76.6,4.6,Red,21.8,74.8,Red
5147,Woodruff County,AR,51.1,43.7,5.2,Split,49.9,45.7,4.4,Split,43.8,52.7,3.5,Red,48.3,47.4,Split
5149,Yell County,AR,33.2,63.1,3.7,Red,28.8,67.7,3.5,Red,23,72,5,Red,28.3,67.6,Red
6001,Alameda County,CA,78.8,19.3,2,Blue,78.5,18.7,2.9,Blue,79.5,15.1,5.4,Blue,78.9,17.7,Blue
